Sp	Elements	Xtal	Position	Bg1	Bg2	Slope	Bias	Gain	Dtime	Blin	Wind	Mode																																													
3 / 1 . 	21.24503	18.21742	19.97149	40.66299	0.004885	0.013546	0.387447	0.0102	0.017394	0.125598						100.656	19.71743	14.63165	8.066758	57.32834	0.004084	0.009865	0.159084	0.003919	0.008191	0.070688						99.99998	35.2306	38.97387	25.69324	0.00923	0.031039	0.500285	0.012979	0.029014	0.175737						100.656	10059	-26598	18	 	 	Fuego ol 49N_2	58032.02	13.6768	3	"Friday, February 11, 2022 4:29:33 AM"
3 / 2 . 	21.26548	18.18685	20.17686	40.68818	0.002518	0.008322	0.384201	0.004892	0.01687	0.123913						100.8581	19.71618	14.59213	8.141361	57.3051	0.002103	0.006054	0.15759	0.001878	0.007937	0.069668						100	35.2645	38.90846	25.95745	0.004758	0.019068	0.496094	0.006225	0.028141	0.173379						100.8581	10059	-26595.5	18	 	 	Fuego ol 49N_2	58029.52	13.72654	4	"Friday, February 11, 2022 4:30:39 AM"
3 / 3 . 	21.43961	18.07621	20.082	40.64482	0.002749	0.004513	0.388028	0.009121	0.016027	0.119537						100.7826	19.88338	14.50755	8.105431	57.26059	0.002297	0.003284	0.159206	0.003502	0.007542	0.067227						100	35.55326	38.67176	25.83541	0.005195	0.010341	0.501036	0.011607	0.026735	0.167256						100.7826	10059	-26593	18	 	 	Fuego ol 49N_2	58027.02	13.70436	5	"Friday, February 11, 2022 4:31:18 AM"
3 / 4 . 	21.32187	18.08677	20.35272	40.6525	0.002888	0.004152	0.387797	0.007267	0.014627	0.113141						100.9437	19.77138	14.51397	8.213535	57.2633	0.002412	0.003021	0.159089	0.00279	0.006882	0.063621						100	35.35801	38.69436	26.1837	0.005457	0.009513	0.500738	0.009247	0.024399	0.158307						100.9437	10058.9	-26590.5	18	 	 	Fuego ol 49N_2	58024.53	13.76051	6	"Friday, February 11, 2022 4:31:57 AM"
3 / 5 . 	21.3774	17.97821	20.34348	40.56417	0.003055	0.005051	0.383438	0.009702	0.013181	0.117452						100.7952	19.85506	14.45028	8.223133	57.23165	0.002556	0.003681	0.157556	0.003731	0.006212	0.066152						100	35.4501	38.46211	26.1718	0.005772	0.011574	0.495109	0.012347	0.021986	0.164339						100.7952	10058.9	-26588	18	 	 	Fuego ol 49N_2	58022.03	13.7428	7	"Friday, February 11, 2022 4:32:37 AM"
3 / 6 . 	21.3208	18.05297	20.42358	40.63322	0.001961	0.005128	0.388136	0.008231	0.012558	0.113693						100.9603	19.77571	14.49075	8.244346	57.25154	0.001638	0.003733	0.15927	0.003161	0.00591	0.063948						100	35.35624	38.62206	26.27485	0.003705	0.011751	0.501175	0.010474	0.020947	0.159079						100.9603	10058.9	-26585.5	18	 	 	Fuego ol 49N_2	58019.53	13.77256	8	"Friday, February 11, 2022 4:33:18 AM"
3 / 7 . 	21.4477	17.92687	20.26171	40.53044	0.003523	0.006002	0.384566	0.012965	0.013132	0.115143						100.7021	19.93134	14.41696	8.194599	57.2156	0.002949	0.004377	0.158106	0.004988	0.006192	0.064888						99.99999	35.56668	38.35228	26.06661	0.006656	0.013753	0.496565	0.016498	0.021906	0.161108						100.7021	10058.9	-26583	18	 	 	Fuego ol 49N_2	58017.03	13.72101	9	"Friday, February 11, 2022 4:33:58 AM"
3 / 8 . 	21.43005	17.9999	20.37348	40.62736	0.003395	0.003129	0.387304	0.007785	0.013423	0.109032						100.9548	19.87163	14.44421	8.221881	57.22768	0.002836	0.002276	0.158886	0.002989	0.006316	0.06131						100	35.53741	38.5085	26.21039	0.006415	0.007169	0.500101	0.009907	0.02239	0.152557						100.9548	10058.8	-26580.5	18	 	 	Fuego ol 49N_2	58014.53	13.76356	10	"Friday, February 11, 2022 4:34:37 AM"
3 / 9 . 	21.41661	17.9356	20.47698	40.5751	0.002838	0.005639	0.387148	0.00252	0.011624	0.109328						100.9234	19.87851	14.40663	8.271699	57.20973	0.002373	0.004107	0.158976	0.000968	0.005475	0.061536						100	35.51513	38.37096	26.34355	0.005363	0.012922	0.499899	0.003207	0.019389	0.152971						100.9234	10058.8	-26578	18	 	 	Fuego ol 49N_2	58012.04	13.77413	11	"Friday, February 11, 2022 4:35:17 AM"
3 / 10 . 	21.35297	18.06523	20.55846	40.71083	0.002611	0.007173	0.380924	0.009093	0.013385	0.1185						101.2192	19.76484	14.47078	8.281734	57.24298	0.002177	0.00521	0.15599	0.003484	0.006287	0.066515						99.99999	35.40959	38.64828	26.44838	0.004933	0.016436	0.491863	0.011571	0.022327	0.165805						101.2192	10058.8	-26575.5	18	 	 	Fuego ol 49N_2	58009.54	13.81939	12	"Friday, February 11, 2022 4:35:57 AM"
3 / 11 . 	21.53301	17.97231	20.4709	40.69307	0.002267	0.007172	0.379249	0.009226	0.013374	0.107056						101.1876	19.92658	14.39281	8.244435	57.20392	0.00189	0.005208	0.155266	0.003534	0.00628	0.060077						100	35.70815	38.44949	26.33573	0.004284	0.016435	0.4897	0.01174	0.022308	0.149793						101.1876	10058.8	-26573	18	 	 	Fuego ol 49N_2	58007.04	13.80108	13	"Friday, February 11, 2022 4:36:37 AM"
3 / 12 . 	21.39193	17.99558	20.45917	40.62853	0.002784	0.00727	0.389001	0.009754	0.012034	0.113326						101.0094	19.83566	14.44029	8.256203	57.22753	0.002325	0.00529	0.159577	0.003744	0.005662	0.063723						100	35.47421	38.49928	26.32064	0.00526	0.016658	0.502292	0.012412	0.020073	0.158566						101.0094	10058.7	-26570.5	18	 	 	Fuego ol 49N_2	58004.54	13.78282	14	"Friday, February 11, 2022 4:37:16 AM"
3 / 13 . 	21.46025	17.89245	20.55742	40.58115	0.002808	0.006862	0.385828	0.011006	0.011887	0.108824						101.0185	19.909	14.36474	8.300017	57.1895	0.002346	0.004995	0.158355	0.004227	0.005596	0.061222						100	35.58749	38.27863	26.44704	0.005305	0.015724	0.498195	0.014005	0.019829	0.152266						101.0185	10058.7	-26568	18	 	 	Fuego ol 49N_2	58002.05	13.79691	15	"Friday, February 11, 2022 4:37:56 AM"
3 / 14 . 	21.56071	18.03206	20.61884	40.82073	0.003807	0.005302	0.37889	0.013171	0.01388	0.103792						101.5512	19.89012	14.39571	8.278168	57.20477	0.003164	0.003838	0.154636	0.00503	0.006497	0.058064						100	35.7541	38.57732	26.52605	0.007194	0.01215	0.489236	0.01676	0.023153	0.145226						101.5512	10058.7	-26565.5	18	 	 	Fuego ol 49N_2	57999.55	13.86185	16	"Friday, February 11, 2022 4:38:37 AM"
3 / 15 . 	21.48298	17.91576	20.7235	40.66555	0.002041	0.007253	0.381338	0.007939	0.012834	0.101261						101.3004	19.88661	14.35208	8.34882	57.18343	0.001702	0.005268	0.156171	0.003043	0.006028	0.056843						100	35.62518	38.3285	26.66069	0.003857	0.01662	0.492398	0.010103	0.021408	0.141685						101.3005	10058.7	-26563	18	 	 	Fuego ol 49N_2	57997.05	13.8495	17	"Friday, February 11, 2022 4:39:17 AM"
3 / 16 . 	21.45854	17.98907	20.66546	40.71979	0.002874	0.007896	0.379184	0.009458	0.012217	0.107468						101.3519	19.84552	14.39742	8.317699	57.20647	0.002394	0.00573	0.155144	0.003621	0.005733	0.060271						100	35.58466	38.48534	26.58603	0.00543	0.018094	0.489617	0.012036	0.020378	0.150369						101.352	10058.6	-26560.5	18	 	 	Fuego ol 49N_2	57994.55	13.84728	18	"Friday, February 11, 2022 4:39:56 AM"
3 / 17 . 	21.52772	17.90632	20.49288	40.61722	0.003881	0.007924	0.375806	0.007921	0.012547	0.097128						101.0494	19.95391	14.36315	8.266637	57.18966	0.003241	0.005763	0.154105	0.003039	0.005901	0.054594						100	35.69938	38.3083	26.36401	0.007334	0.018158	0.485254	0.010079	0.020928	0.135901						101.0494	10058.6	-26558	18	 	 	Fuego ol 49N_2	57992.05	13.78779	19	"Friday, February 11, 2022 4:40:36 AM"
3 / 18 . 	21.58486	17.96422	20.49145	40.72574	0.003611	0.006645	0.382375	0.012456	0.011375	0.109341						101.2921	19.95475	14.37205	8.244521	57.19306	0.003008	0.004821	0.15639	0.004767	0.005336	0.061298						100	35.79413	38.43217	26.36216	0.006824	0.015227	0.493736	0.015851	0.018974	0.15299						101.2921	10058.6	-26555.5	18	 	 	Fuego ol 49N_2	57989.56	13.81593	20	"Friday, February 11, 2022 4:41:15 AM"
3 / 19 . 	21.58053	17.94922	20.41942	40.68464	0.00338	0.00821	0.378813	0.014419	0.010774	0.105707						101.1551	19.97168	14.37512	8.224159	57.19526	0.002818	0.005962	0.155096	0.005524	0.005059	0.059323						100	35.78696	38.40009	26.2695	0.006386	0.018812	0.489137	0.018348	0.017971	0.147905						101.1551	10058.5	-26553	18	 	 	Fuego ol 49N_2	57987.06	13.7903	21	"Friday, February 11, 2022 4:41:55 AM"
3 / 20 . 	21.61797	17.92513	20.52159	40.70267	0.002519	0.002538	0.377362	0.011778	0.012677	0.104552						101.2788	19.99119	14.34497	8.259062	57.17736	0.002099	0.001842	0.154385	0.004509	0.005948	0.058631						100	35.84903	38.34855	26.40094	0.00476	0.005816	0.487264	0.014988	0.021146	0.14629						101.2788	10058.5	-26550.5	18	 	 	Fuego ol 49N_2	57984.56	13.81755	22	"Friday, February 11, 2022 4:42:34 AM"
3 / 21 . 	21.49446	17.9931	20.58412	40.71548	0.003501	0.002101	0.379434	0.00807	0.010956	0.104535						101.2958	19.88047	14.40189	8.285679	57.20539	0.002917	0.001525	0.15526	0.00309	0.005142	0.058632						100	35.64423	38.49397	26.48138	0.006614	0.004814	0.489939	0.010269	0.018275	0.146266						101.2958	10058.5	-26548	18	 	 	Fuego ol 49N_2	57982.06	13.82868	23	"Friday, February 11, 2022 4:43:15 AM"
3 / 22 . 	21.67533	17.97071	20.42819	40.76492	0.002264	0.00543	0.371208	0.007955	0.013312	0.10004						101.3394	20.0172	14.36206	8.210384	57.18757	0.001883	0.003935	0.151663	0.003041	0.006238	0.056025						100	35.94416	38.44608	26.28078	0.004277	0.012443	0.479318	0.010123	0.022205	0.139976						101.3394	10058.5	-26545.5	18	 	 	Fuego ol 49N_2	57979.57	13.80854	24	"Friday, February 11, 2022 4:43:54 AM"
3 / 23 . 	21.62402	17.83116	20.22464	40.5161	0.003838	0.004945	0.374998	0.01041	0.012078	0.101427						100.7036	20.08757	14.33455	8.176498	57.17363	0.003212	0.003605	0.154114	0.004003	0.005693	0.057137						100	35.85907	38.14752	26.01892	0.007252	0.011332	0.484211	0.013247	0.020147	0.141917						100.7036	10058.4	-26543	18	 	 	Fuego ol 49N_2	57977.07	13.71179	25	"Friday, February 11, 2022 4:44:34 AM"
3 / 24 . 	21.50181	17.98364	20.34441	40.64143	0.005485	0.002666	0.373858	0.007024	0.011236	0.104032						100.9756	19.92753	14.42347	8.205773	57.21697	0.004579	0.001939	0.153288	0.002695	0.005284	0.058467						99.99998	35.65641	38.47372	26.173	0.010364	0.006109	0.482738	0.008938	0.018743	0.145561						100.9756	10058.4	-26540.5	18	 	 	Fuego ol 49N_2	57974.57	13.75861	26	"Friday, February 11, 2022 4:45:13 AM"
3 / 25 . 	21.67426	17.91786	20.52728	40.73584	0.003843	0.004718	0.37606	0.00676	0.011707	0.107461						101.3658	20.02392	14.32532	8.253385	57.16876	0.003198	0.00342	0.153704	0.002585	0.005488	0.060204						100	35.94239	38.33299	26.40827	0.007262	0.010811	0.485582	0.008602	0.019528	0.15036						101.3658	10058.4	-26538	18	 	 	Fuego ol 49N_2	57972.08	13.82656	27	"Friday, February 11, 2022 4:45:53 AM"
3 / 26 . 	21.71951	17.87142	20.36118	40.6631	0.004079	0.005184	0.374456	0.004599	0.013498	0.099982						101.117	20.09959	14.31231	8.200418	57.163	0.003401	0.003764	0.153306	0.001762	0.006338	0.056108						100	36.01742	38.23365	26.19458	0.007708	0.011879	0.483511	0.005853	0.022516	0.139895						101.117	10058.4	-26535.5	18	 	 	Fuego ol 49N_2	57969.58	13.77447	28	"Friday, February 11, 2022 4:46:32 AM"
3 / 27 . 	21.69008	17.91154	20.63371	40.76865	0.003191	0.004723	0.374364	0.009	0.012034	0.105812						101.5131	20.01907	14.30636	8.288116	57.15923	0.002653	0.00342	0.152862	0.003439	0.005636	0.059222						100	35.96862	38.31948	26.54518	0.00603	0.010822	0.483392	0.011453	0.020073	0.148052						101.5131	10058.3	-26533	18	 	 	Fuego ol 49N_2	57967.08	13.85772	29	"Friday, February 11, 2022 4:47:13 AM"
3 / 28 . 	21.66729	17.87933	20.48737	40.67993	0.003708	0.008373	0.374634	0.012671	0.009659	0.106408						101.2294	20.04336	14.313	8.247984	57.1641	0.003089	0.006078	0.153319	0.004852	0.004534	0.059691						100	35.93083	38.25058	26.35691	0.007005	0.019186	0.483741	0.016124	0.016112	0.148886						101.2294	10058.3	-26530.5	18	 	 	Fuego ol 49N_2	57964.58	13.80664	30	"Friday, February 11, 2022 4:47:53 AM"
3 / 29 . 	21.7921	17.84101	20.32028	40.65817	0.002132	0.000899	0.371002	0.004424	0.012318	0.10691						101.1092	20.16343	14.28559	8.182592	57.14661	0.001777	0.000653	0.151867	0.001694	0.005783	0.059986						99.99998	36.13781	38.16858	26.14196	0.004029	0.002059	0.479052	0.005629	0.020546	0.149589						101.1093	10058.3	-26528	18	 	 	Fuego ol 49N_2	57962.09	13.76721	31	"Friday, February 11, 2022 4:48:33 AM"
3 / 30 . 	21.79285	17.89621	20.35702	40.73458	0.002391	0.002952	0.36773	0.00871	0.012523	0.105047						101.28	20.13028	14.30574	8.183625	57.15791	0.00199	0.00214	0.150275	0.003331	0.005869	0.058842						99.99999	36.13905	38.28668	26.18922	0.004518	0.006765	0.474826	0.011084	0.020889	0.146982						101.28	10058.3	-26525.5	18	 	 	Fuego ol 49N_2	57959.59	13.79109	32	"Friday, February 11, 2022 4:49:13 AM"
3 / 31 . 	21.69747	17.90214	20.31609	40.66882	0.002607	0.00585	0.365282	0.011093	0.010423	0.103882						101.0837	20.08064	14.33794	8.182844	57.17514	0.002174	0.004248	0.149561	0.00425	0.004895	0.058301						99.99999	35.98088	38.29936	26.13656	0.004927	0.013404	0.471665	0.014116	0.017386	0.145351						101.0836	10058.2	-26523	18	 	 	Fuego ol 49N_2	57957.09	13.76439	33	"Friday, February 11, 2022 4:49:53 AM"
3 / 32 . 	21.78412	17.92751	20.33772	40.75269	0.003208	0.001104	0.36525	0.010203	0.010269	0.098054						101.2901	20.11647	14.32667	8.173537	57.16701	0.002668	0.0008	0.149219	0.0039	0.004812	0.054909						99.99998	36.12457	38.35364	26.1644	0.006061	0.002529	0.471624	0.012983	0.017129	0.137197						101.2901	10058.2	-26520.5	18	 	 	Fuego ol 49N_2	57954.59	13.78859	34	"Friday, February 11, 2022 4:50:32 AM"
